"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","0","6","7","single-stim","0","56","0.0-0.0"
"-1","-1","2","s999","9","9","2","single-stim","1","60","0.0-1.0"
"-1","-1","3","s999","2","1","9","single-stim","2","66","0.0-2.0"
"-1","-1","4","s999","9","2","2","single-stim","3","67","0.0-3.0"
"-1","-1","5","s999","6","6","3","single-stim","4","72","0.0-4.0"
"-1","-1","6","s999","4","5","7","single-stim","5","76","0.0-5.0"
"-1","-1","7","s999","1","7","0","single-stim","6","83","0.0-6.0"
"-1","-1","8","s999","7","8","0","single-stim","7","88","0.0-7.0"
"-1","-1","9","s999","1","9","9","single-stim","8","93","0.0-8.0"
"-1","-1","10","s999","2","6","5","single-stim","9","98","0.0-9.0"
"-1","-1","11","s999","2","2","5","single-stim","10","103","0.0-10.0"
"-1","-1","12","s999","3","7","4","single-stim","11","107","0.0-11.0"
"-1","-1","13","s999","2","6","2","single-stim","12","112","0.0-12.0"
"-1","-1","14","s999","5","2","4","single-stim","13","117","0.0-13.0"
"-1","-1","15","s999","1","5","7","single-stim","14","121","0.0-14.0"
"-1","-1","16","s999","2","0","1","single-stim","15","126","0.0-15.0"
"-1","-1","17","s999","4","0","9","single-stim","16","132","0.0-16.0"
"-1","-1","18","s999","9","9","3","single-stim","17","137","0.0-17.0"
"-1","-1","19","s999","4","3","7","single-stim","18","142","0.0-18.0"
"-1","-1","20","s999","1","6","6","single-stim","19","148","0.0-19.0"
"-1","-1","21","s999","7","6","7","single-stim","20","157","0.0-20.0"
"-1","-1","22","s999","1","9","3","single-stim","21","167","0.0-21.0"
"-1","-1","23","s999","7","2","5","single-stim","22","171","0.0-22.0"
"-1","-1","24","s999","6","3","5","single-stim","23","176","0.0-23.0"
"-1","-1","25","s999","7","9","0","single-stim","24","187","0.0-24.0"
"-1","-1","26","s999","1","6","7","single-stim","25","191","0.0-25.0"
"-1","-1","27","s999","2","4","0","single-stim","26","196","0.0-26.0"
"-1","-1","28","s999","5","6","9","single-stim","27","201","0.0-27.0"
"-1","-1","29","s999","2","4","8","single-stim","28","206","0.0-28.0"
"-1","-1","30","s999","5","8","5","single-stim","29","212","0.0-29.0"
"-1","-1","31","s999","5","5","3","single-stim","30","217","0.0-30.0"
"-1","-1","32","s999","0","1","6","single-stim","31","222","0.0-31.0"
"-1","-1","33","s999","9","4","0","single-stim","32","229","0.0-32.0"
"-1","-1","34","s999","4","7","8","single-stim","33","234","0.0-33.0"
"-1","-1","35","s999","4","6","2","single-stim","34","238","0.0-34.0"
"-1","-1","36","s999","7","5","1","single-stim","35","243","0.0-35.0"
"-1","-1","37","s999","9","2","7","single-stim","36","249","0.0-36.0"
"-1","-1","38","s999","1","3","6","single-stim","37","254","0.0-37.0"
"-1","-1","39","s999","0","2","9","single-stim","38","259","0.0-38.0"
"-1","-1","40","s999","0","6","4","single-stim","39","264","0.0-39.0"
"-1","-1","41","s999","0","1","3","single-stim","40","268","0.0-40.0"
"-1","-1","42","s999","3","9","9","single-stim","41","273","0.0-41.0"
"-1","-1","43","s999","7","5","7","single-stim","42","278","0.0-42.0"
"-1","-1","44","s999","8","0","5","single-stim","43","283","0.0-43.0"
"-1","-1","45","s999","9","3","4","single-stim","44","287","0.0-44.0"
"-1","-1","46","s999","5","5","9","single-stim","45","292","0.0-45.0"
"-1","-1","47","s999","1","6","9","single-stim","46","297","0.0-46.0"
"-1","-1","48","s999","6","1","6","single-stim","47","302","0.0-47.0"
"-1","-1","49","s999","6","1","5","single-stim","48","306","0.0-48.0"
"-1","-1","50","s999","9","2","8","single-stim","49","311","0.0-49.0"
"-1","-1","51","s999","7","8","4","single-stim","50","317","0.0-50.0"
"-1","-1","52","s999","4","1","6","single-stim","51","321","0.0-51.0"
"-1","-1","53","s999","8","2","7","single-stim","52","336","0.0-52.0"
"-1","-1","54","s999","6","0","6","single-stim","53","342","0.0-53.0"
"-1","-1","55","s999","1","6","4","single-stim","54","347","0.0-54.0"
"-1","-1","56","s999","1","5","7","single-stim","55","351","0.0-55.0"
"-1","-1","57","s999","5","4","3","single-stim","56","356","0.0-56.0"
"-1","-1","58","s999","7","6","4","single-stim","57","362","0.0-57.0"
"-1","-1","59","s999","0","1","1","single-stim","58","367","0.0-58.0"
"-1","-1","60","s999","3","6","9","single-stim","59","372","0.0-59.0"
"-1","-1","61","s999","1","5","8","single-stim","60","377","0.0-60.0"
"-1","-1","62","s999","7","2","2","single-stim","61","382","0.0-61.0"
"-1","-1","63","s999","7","6","2","single-stim","62","387","0.0-62.0"
"-1","-1","64","s999","6","9","7","single-stim","63","392","0.0-63.0"
"-1","-1","65","s999","8","9","9","single-stim","64","397","0.0-64.0"
"-1","-1","66","s999","6","2","5","single-stim","65","403","0.0-65.0"
"-1","-1","67","s999","6","0","6","single-stim","66","408","0.0-66.0"
"-1","-1","68","s999","9","4","7","single-stim","67","413","0.0-67.0"
"-1","-1","69","s999","5","2","1","single-stim","68","418","0.0-68.0"
"-1","-1","70","s999","5","2","0","single-stim","69","422","0.0-69.0"
"-1","-1","71","s999","8","6","8","single-stim","70","427","0.0-70.0"
"-1","-1","72","s999","6","2","5","single-stim","71","432","0.0-71.0"
"-1","-1","73","s999","4","4","9","single-stim","72","436","0.0-72.0"
"-1","-1","74","s999","6","8","2","single-stim","73","441","0.0-73.0"
"-1","-1","75","s999","1","8","4","single-stim","74","445","0.0-74.0"
"-1","-1","76","s999","2","7","3","single-stim","75","450","0.0-75.0"
"-1","-1","77","s999","1","1","5","single-stim","76","455","0.0-76.0"
"-1","-1","78","s999","3","8","2","single-stim","77","459","0.0-77.0"
"-1","-1","79","s999","3","8","8","single-stim","78","464","0.0-78.0"
"-1","-1","80","s999","7","3","2","single-stim","79","468","0.0-79.0"
"-1","-1","81","s999","7","6","8","single-stim","80","473","0.0-80.0"
"-1","-1","82","s999","0","8","4","single-stim","81","477","0.0-81.0"
"-1","-1","83","s999","3","6","7","single-stim","82","482","0.0-82.0"
"-1","-1","84","s999","0","8","1","single-stim","83","487","0.0-83.0"
"-1","-1","85","s999","4","9","7","single-stim","84","491","0.0-84.0"
"-1","-1","86","s999","7","7","6","single-stim","85","496","0.0-85.0"
"-1","-1","87","s999","6","5","8","single-stim","86","501","0.0-86.0"
"-1","-1","88","s999","8","6","5","single-stim","87","505","0.0-87.0"
"-1","-1","89","s999","6","0","0","single-stim","88","510","0.0-88.0"
"-1","-1","90","s999","7","8","2","single-stim","89","516","0.0-89.0"
"-1","-1","91","s999","9","1","1","single-stim","90","521","0.0-90.0"
"-1","-1","92","s999","2","1","2","single-stim","91","526","0.0-91.0"
"-1","-1","93","s999","0","7","7","single-stim","92","530","0.0-92.0"
"-1","-1","94","s999","1","8","8","single-stim","93","535","0.0-93.0"
"-1","-1","95","s999","0","4","3","single-stim","94","540","0.0-94.0"
"-1","-1","96","s999","9","6","6","single-stim","95","545","0.0-95.0"
"-1","-1","97","s999","3","5","9","single-stim","96","549","0.0-96.0"
"-1","-1","98","s999","3","2","7","single-stim","97","557","0.0-97.0"
"-1","-1","99","s999","8","1","4","single-stim","98","562","0.0-98.0"
"-1","-1","100","s999","1","1","4","single-stim","99","568","0.0-99.0"
