"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","3","6","5","single-stim","0","72","0.0-0.0"
"-1","-1","2","s999","0","9","9","single-stim","1","84","0.0-1.0"
"-1","-1","3","s999","6","6","9","single-stim","2","87","0.0-2.0"
"-1","-1","4","s999","7","8","0","single-stim","3","88","0.0-3.0"
"-1","-1","5","s999","4","1","7","single-stim","4","94","0.0-4.0"
"-1","-1","6","s999","2","3","1","single-stim","5","106","0.0-5.0"
"-1","-1","7","s999","4","7","6","single-stim","6","112","0.0-6.0"
"-1","-1","8","s999","0","5","4","single-stim","7","117","0.0-7.0"
"-1","-1","9","s999","0","7","1","single-stim","8","125","0.0-8.0"
"-1","-1","10","s999","5","9","1","single-stim","9","129","0.0-9.0"
"-1","-1","11","s999","6","5","5","single-stim","10","135","0.0-10.0"
"-1","-1","12","s999","3","0","5","single-stim","11","140","0.0-11.0"
"-1","-1","13","s999","7","5","5","single-stim","12","145","0.0-12.0"
"-1","-1","14","s999","9","4","1","single-stim","13","150","0.0-13.0"
"-1","-1","15","s999","2","2","0","single-stim","14","155","0.0-14.0"
"-1","-1","16","s999","3","7","7","single-stim","15","160","0.0-15.0"
"-1","-1","17","s999","1","2","3","single-stim","16","165","0.0-16.0"
"-1","-1","18","s999","1","4","4","single-stim","17","170","0.0-17.0"
"-1","-1","19","s999","1","4","0","single-stim","18","175","0.0-18.0"
"-1","-1","20","s999","9","7","0","single-stim","19","189","0.0-19.0"
"-1","-1","21","s999","0","6","8","single-stim","20","206","0.0-20.0"
"-1","-1","22","s999","8","7","5","single-stim","21","216","0.0-21.0"
"-1","-1","23","s999","9","3","0","single-stim","22","221","0.0-22.0"
"-1","-1","24","s999","4","8","9","single-stim","23","226","0.0-23.0"
"-1","-1","25","s999","9","2","9","single-stim","24","233","0.0-24.0"
"-1","-1","26","s999","3","1","1","single-stim","25","239","0.0-25.0"
"-1","-1","27","s999","1","2","9","single-stim","26","245","0.0-26.0"
"-1","-1","28","s999","2","1","9","single-stim","27","253","0.0-27.0"
"-1","-1","29","s999","1","7","6","single-stim","28","258","0.0-28.0"
"-1","-1","30","s999","2","9","9","single-stim","29","265","0.0-29.0"
"-1","-1","31","s999","2","8","2","single-stim","30","270","0.0-30.0"
"-1","-1","32","s999","9","6","7","single-stim","31","276","0.0-31.0"
"-1","-1","33","s999","4","5","1","single-stim","32","283","0.0-32.0"
"-1","-1","34","s999","8","8","2","single-stim","33","288","0.0-33.0"
"-1","-1","35","s999","1","8","1","single-stim","34","293","0.0-34.0"
"-1","-1","36","s999","2","1","3","single-stim","35","298","0.0-35.0"
"-1","-1","37","s999","7","7","0","single-stim","36","305","0.0-36.0"
"-1","-1","38","s999","4","8","7","single-stim","37","310","0.0-37.0"
"-1","-1","39","s999","0","3","7","single-stim","38","320","0.0-38.0"
"-1","-1","40","s999","4","1","9","single-stim","39","324","0.0-39.0"
"-1","-1","41","s999","5","8","3","single-stim","40","329","0.0-40.0"
"-1","-1","42","s999","4","1","6","single-stim","41","334","0.0-41.0"
"-1","-1","43","s999","1","1","9","single-stim","42","341","0.0-42.0"
"-1","-1","44","s999","5","8","7","single-stim","43","347","0.0-43.0"
"-1","-1","45","s999","2","7","1","single-stim","44","352","0.0-44.0"
"-1","-1","46","s999","9","4","9","single-stim","45","357","0.0-45.0"
"-1","-1","47","s999","0","2","0","single-stim","46","363","0.0-46.0"
"-1","-1","48","s999","7","8","3","single-stim","47","369","0.0-47.0"
"-1","-1","49","s999","9","8","8","single-stim","48","374","0.0-48.0"
"-1","-1","50","s999","7","5","4","single-stim","49","379","0.0-49.0"
"-1","-1","51","s999","1","1","1","single-stim","50","386","0.0-50.0"
"-1","-1","52","s999","4","2","1","single-stim","51","391","0.0-51.0"
"-1","-1","53","s999","0","0","5","single-stim","52","396","0.0-52.0"
"-1","-1","54","s999","8","4","2","single-stim","53","401","0.0-53.0"
"-1","-1","55","s999","3","3","1","single-stim","54","406","0.0-54.0"
"-1","-1","56","s999","0","7","1","single-stim","55","411","0.0-55.0"
"-1","-1","57","s999","4","5","0","single-stim","56","416","0.0-56.0"
"-1","-1","58","s999","7","9","8","single-stim","57","421","0.0-57.0"
"-1","-1","59","s999","2","9","3","single-stim","58","426","0.0-58.0"
"-1","-1","60","s999","5","8","5","single-stim","59","430","0.0-59.0"
"-1","-1","61","s999","4","0","5","single-stim","60","436","0.0-60.0"
"-1","-1","62","s999","7","2","3","single-stim","61","441","0.0-61.0"
"-1","-1","63","s999","3","2","4","single-stim","62","448","0.0-62.0"
"-1","-1","64","s999","7","6","2","single-stim","63","453","0.0-63.0"
"-1","-1","65","s999","6","4","2","single-stim","64","464","0.0-64.0"
"-1","-1","66","s999","5","2","1","single-stim","65","472","0.0-65.0"
"-1","-1","67","s999","6","1","9","single-stim","66","477","0.0-66.0"
"-1","-1","68","s999","1","1","4","single-stim","67","484","0.0-67.0"
"-1","-1","69","s999","2","2","1","single-stim","68","494","0.0-68.0"
"-1","-1","70","s999","5","1","6","single-stim","69","499","0.0-69.0"
"-1","-1","71","s999","7","1","8","single-stim","70","504","0.0-70.0"
"-1","-1","72","s999","2","4","1","single-stim","71","509","0.0-71.0"
"-1","-1","73","s999","2","9","6","single-stim","72","515","0.0-72.0"
"-1","-1","74","s999","0","9","8","single-stim","73","523","0.0-73.0"
"-1","-1","75","s999","0","5","0","single-stim","74","532","0.0-74.0"
"-1","-1","76","s999","2","1","4","single-stim","75","537","0.0-75.0"
"-1","-1","77","s999","3","0","4","single-stim","76","542","0.0-76.0"
"-1","-1","78","s999","3","4","1","single-stim","77","547","0.0-77.0"
"-1","-1","79","s999","9","5","0","single-stim","78","554","0.0-78.0"
"-1","-1","80","s999","9","6","5","single-stim","79","561","0.0-79.0"
"-1","-1","81","s999","5","5","9","single-stim","80","567","0.0-80.0"
"-1","-1","82","s999","7","7","1","single-stim","81","574","0.0-81.0"
"-1","-1","83","s999","0","9","5","single-stim","82","579","0.0-82.0"
"-1","-1","84","s999","6","7","6","single-stim","83","584","0.0-83.0"
"-1","-1","85","s999","6","5","1","single-stim","84","589","0.0-84.0"
"-1","-1","86","s999","7","0","9","single-stim","85","595","0.0-85.0"
"-1","-1","87","s999","2","7","1","single-stim","86","603","0.0-86.0"
"-1","-1","88","s999","4","6","8","single-stim","87","608","0.0-87.0"
"-1","-1","89","s999","5","2","3","single-stim","88","615","0.0-88.0"
"-1","-1","90","s999","8","4","3","single-stim","89","619","0.0-89.0"
"-1","-1","91","s999","2","7","5","single-stim","90","624","0.0-90.0"
"-1","-1","92","s999","4","9","2","single-stim","91","628","0.0-91.0"
"-1","-1","93","s999","7","9","4","single-stim","92","634","0.0-92.0"
"-1","-1","94","s999","2","8","3","single-stim","93","638","0.0-93.0"
"-1","-1","95","s999","4","1","0","single-stim","94","642","0.0-94.0"
