"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","4","1","5","single-stim","0","69","0.0-0.0"
"-1","-1","2","s999","8","6","7","single-stim","1","79","0.0-1.0"
"-1","-1","3","s999","4","0","6","single-stim","2","86","0.0-2.0"
"-1","-1","4","s999","9","7","8","single-stim","3","87","0.0-3.0"
"-1","-1","5","s999","6","5","8","single-stim","4","93","0.0-4.0"
"-1","-1","6","s999","6","6","9","single-stim","5","98","0.0-5.0"
"-1","-1","7","s999","7","8","9","single-stim","6","103","0.0-6.0"
"-1","-1","8","s999","1","1","0","single-stim","7","108","0.0-7.0"
"-1","-1","9","s999","1","3","8","single-stim","8","114","0.0-8.0"
"-1","-1","10","s999","9","3","0","single-stim","9","118","0.0-9.0"
"-1","-1","11","s999","9","2","8","single-stim","10","123","0.0-10.0"
"-1","-1","12","s999","7","7","3","single-stim","11","129","0.0-11.0"
"-1","-1","13","s999","5","8","8","single-stim","12","135","0.0-12.0"
"-1","-1","14","s999","5","3","7","single-stim","13","145","0.0-13.0"
"-1","-1","15","s999","7","5","6","single-stim","14","151","0.0-14.0"
"-1","-1","16","s999","4","6","6","single-stim","15","155","0.0-15.0"
"-1","-1","17","s999","0","6","9","single-stim","16","160","0.0-16.0"
"-1","-1","18","s999","9","1","6","single-stim","17","165","0.0-17.0"
"-1","-1","19","s999","2","6","0","single-stim","18","171","0.0-18.0"
"-1","-1","20","s999","9","4","0","single-stim","19","176","0.0-19.0"
"-1","-1","21","s999","5","4","3","single-stim","20","181","0.0-20.0"
"-1","-1","22","s999","5","8","6","single-stim","21","186","0.0-21.0"
"-1","-1","23","s999","8","7","3","single-stim","22","191","0.0-22.0"
"-1","-1","24","s999","9","4","8","single-stim","23","196","0.0-23.0"
"-1","-1","25","s999","3","4","0","single-stim","24","203","0.0-24.0"
"-1","-1","26","s999","2","2","7","single-stim","25","208","0.0-25.0"
"-1","-1","27","s999","4","6","6","single-stim","26","212","0.0-26.0"
"-1","-1","28","s999","8","9","4","single-stim","27","218","0.0-27.0"
"-1","-1","29","s999","9","3","6","single-stim","28","224","0.0-28.0"
"-1","-1","30","s999","6","5","6","single-stim","29","228","0.0-29.0"
"-1","-1","31","s999","0","4","6","single-stim","30","233","0.0-30.0"
"-1","-1","32","s999","5","6","0","single-stim","31","239","0.0-31.0"
"-1","-1","33","s999","7","6","7","single-stim","32","245","0.0-32.0"
"-1","-1","34","s999","0","2","6","single-stim","33","251","0.0-33.0"
"-1","-1","35","s999","4","6","8","single-stim","34","265","0.0-34.0"
"-1","-1","36","s999","0","5","5","single-stim","35","271","0.0-35.0"
"-1","-1","37","s999","5","9","1","single-stim","36","278","0.0-36.0"
"-1","-1","38","s999","8","6","1","single-stim","37","283","0.0-37.0"
"-1","-1","39","s999","8","9","7","single-stim","38","291","0.0-38.0"
"-1","-1","40","s999","7","6","2","single-stim","39","297","0.0-39.0"
"-1","-1","41","s999","9","1","7","single-stim","40","304","0.0-40.0"
"-1","-1","42","s999","7","3","9","single-stim","41","315","0.0-41.0"
"-1","-1","43","s999","8","3","6","single-stim","42","319","0.0-42.0"
"-1","-1","44","s999","6","8","0","single-stim","43","332","0.0-43.0"
"-1","-1","45","s999","6","2","8","single-stim","44","345","0.0-44.0"
"-1","-1","46","s999","0","1","0","single-stim","45","353","0.0-45.0"
"-1","-1","47","s999","2","1","6","single-stim","46","363","0.0-46.0"
"-1","-1","48","s999","1","8","5","single-stim","47","368","0.0-47.0"
"-1","-1","49","s999","4","1","6","single-stim","48","378","0.0-48.0"
"-1","-1","50","s999","6","2","3","single-stim","49","383","0.0-49.0"
"-1","-1","51","s999","8","3","0","single-stim","50","392","0.0-50.0"
"-1","-1","52","s999","0","2","6","single-stim","51","398","0.0-51.0"
"-1","-1","53","s999","6","1","1","single-stim","52","403","0.0-52.0"
"-1","-1","54","s999","8","1","0","single-stim","53","408","0.0-53.0"
"-1","-1","55","s999","8","3","3","single-stim","54","413","0.0-54.0"
"-1","-1","56","s999","4","7","7","single-stim","55","417","0.0-55.0"
"-1","-1","57","s999","2","5","4","single-stim","56","422","0.0-56.0"
"-1","-1","58","s999","4","3","4","single-stim","57","427","0.0-57.0"
"-1","-1","59","s999","3","4","8","single-stim","58","431","0.0-58.0"
"-1","-1","60","s999","6","2","7","single-stim","59","437","0.0-59.0"
"-1","-1","61","s999","4","4","9","single-stim","60","442","0.0-60.0"
"-1","-1","62","s999","8","4","9","single-stim","61","447","0.0-61.0"
"-1","-1","63","s999","4","0","7","single-stim","62","451","0.0-62.0"
"-1","-1","64","s999","6","7","8","single-stim","63","456","0.0-63.0"
"-1","-1","65","s999","9","2","0","single-stim","64","461","0.0-64.0"
"-1","-1","66","s999","3","2","0","single-stim","65","466","0.0-65.0"
"-1","-1","67","s999","3","3","5","single-stim","66","471","0.0-66.0"
"-1","-1","68","s999","1","8","4","single-stim","67","477","0.0-67.0"
"-1","-1","69","s999","3","6","6","single-stim","68","481","0.0-68.0"
"-1","-1","70","s999","4","2","7","single-stim","69","486","0.0-69.0"
"-1","-1","71","s999","7","4","0","single-stim","70","492","0.0-70.0"
"-1","-1","72","s999","8","2","7","single-stim","71","497","0.0-71.0"
