"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","5","9","9","single-stim","0","41","0.0-0.0"
"-1","-1","2","s999","5","0","0","single-stim","1","48","0.0-1.0"
"-1","-1","3","s999","4","7","5","single-stim","2","50","0.0-2.0"
"-1","-1","4","s999","5","2","6","single-stim","3","52","0.0-3.0"
"-1","-1","5","s999","3","0","6","single-stim","4","57","0.0-4.0"
"-1","-1","6","s999","1","7","9","single-stim","5","62","0.0-5.0"
"-1","-1","7","s999","5","9","9","single-stim","6","66","0.0-6.0"
"-1","-1","8","s999","9","1","1","single-stim","7","74","0.0-7.0"
"-1","-1","9","s999","6","6","4","single-stim","8","81","0.0-8.0"
"-1","-1","10","s999","5","0","7","single-stim","9","87","0.0-9.0"
"-1","-1","11","s999","5","9","0","single-stim","10","96","0.0-10.0"
"-1","-1","12","s999","8","0","5","single-stim","11","114","0.0-11.0"
"-1","-1","13","s999","2","4","0","single-stim","12","127","0.0-12.0"
"-1","-1","14","s999","0","7","3","single-stim","13","134","0.0-13.0"
"-1","-1","15","s999","9","7","9","single-stim","14","151","0.0-14.0"
"-1","-1","16","s999","2","1","1","single-stim","15","157","0.0-15.0"
"-1","-1","17","s999","5","9","8","single-stim","16","171","0.0-16.0"
"-1","-1","18","s999","6","8","6","single-stim","17","181","0.0-17.0"
"-1","-1","19","s999","0","5","4","single-stim","18","185","0.0-18.0"
"-1","-1","20","s999","0","0","2","single-stim","19","191","0.0-19.0"
"-1","-1","21","s999","8","5","2","single-stim","20","201","0.0-20.0"
"-1","-1","22","s999","6","5","2","single-stim","21","206","0.0-21.0"
"-1","-1","23","s999","9","0","5","single-stim","22","211","0.0-22.0"
"-1","-1","24","s999","0","7","9","single-stim","23","216","0.0-23.0"
"-1","-1","25","s999","8","3","5","single-stim","24","222","0.0-24.0"
"-1","-1","26","s999","1","1","9","single-stim","25","228","0.0-25.0"
"-1","-1","27","s999","4","0","2","single-stim","26","235","0.0-26.0"
"-1","-1","28","s999","7","0","5","single-stim","27","242","0.0-27.0"
"-1","-1","29","s999","2","7","1","single-stim","28","247","0.0-28.0"
"-1","-1","30","s999","4","3","3","single-stim","29","253","0.0-29.0"
"-1","-1","31","s999","4","8","8","single-stim","30","257","0.0-30.0"
"-1","-1","32","s999","7","0","0","single-stim","31","266","0.0-31.0"
